MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-16:06:23.878187,0.14,0.03,0.0,0.0,0.0,0.0,0.02,0.43,1.0,0.0,0.23,0.11,0.0,3.18,0.09,0.02,0.06,0.01,5.51,0.0,0.06,0.0,0.01,0.0,0.0,0.12,0.03,0.05,0.02,0.04,0.0,0.0,0.53,0.0,0.11,0.03
07/30/2025-16:06:24.358011,0.09,0.0,0.0,0.0,0.0,0.02,-0.0,0.55,0.9,0.0,0.3,0.16,0.0,1.62,0.1,0.03,0.04,0.01,4.04,0.0,0.14,0.0,0.0,-0.0,0.0,0.22,0.17,0.09,0.02,0.0,0.06,0.0,0.01,0.0,0.15,0.03
07/30/2025-16:06:24.803496,0.09,0.0,0.0,0.0,0.0,0.02,-0.0,0.55,0.9,0.0,0.3,0.16,0.0,1.62,0.1,0.03,0.04,0.01,4.04,0.0,0.14,0.0,0.0,-0.0,0.0,0.22,0.17,0.09,0.02,0.0,0.06,0.0,0.01,0.0,0.15,0.03
07/30/2025-16:06:25.322886,0.09,0.0,0.0,0.0,0.0,0.02,-0.0,0.55,0.9,0.0,0.3,0.16,0.0,1.62,0.1,0.03,0.04,0.01,4.04,0.0,0.14,0.0,0.0,-0.0,0.0,0.22,0.17,0.09,0.02,0.0,0.06,0.0,0.01,0.0,0.15,0.03
07/30/2025-16:06:25.776911,0.09,0.0,0.0,0.0,0.0,0.02,-0.0,0.55,0.9,0.0,0.3,0.16,0.0,1.62,0.1,0.03,0.04,0.01,4.04,0.0,0.14,0.0,0.0,-0.0,0.0,0.22,0.17,0.09,0.02,0.0,0.06,0.0,0.01,0.0,0.15,0.03
07/30/2025-16:06:26.237025,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.95,0.0,0.24,0.15,0.0,2.04,0.12,0.02,0.07,0.02,5.14,0.0,0.14,0.0,0.01,-0.0,0.0,0.09,0.35,0.14,0.02,0.03,0.07,0.0,0.91,0.0,0.18,0.04
07/30/2025-16:06:26.723658,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.95,0.0,0.24,0.15,0.0,2.04,0.12,0.02,0.07,0.02,5.14,0.0,0.14,0.0,0.01,-0.0,0.0,0.09,0.35,0.14,0.02,0.03,0.07,0.0,0.91,0.0,0.18,0.04
07/30/2025-16:06:27.241765,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.95,0.0,0.24,0.15,0.0,2.04,0.12,0.02,0.07,0.02,5.14,0.0,0.14,0.0,0.01,-0.0,0.0,0.09,0.35,0.14,0.02,0.03,0.07,0.0,0.91,0.0,0.18,0.04
07/30/2025-16:06:27.830961,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.95,0.0,0.24,0.15,0.0,2.04,0.12,0.02,0.07,0.02,5.14,0.0,0.14,0.0,0.01,-0.0,0.0,0.09,0.35,0.14,0.02,0.03,0.07,0.0,0.91,0.0,0.18,0.04
07/30/2025-16:06:28.813129,0.18,0.03,-0.0,0.0,0.0,-0.0,0.0,0.96,1.07,0.0,0.29,0.16,0.0,2.4,0.14,0.03,0.07,0.0,10.66,0.0,0.11,0.0,0.01,0.04,0.0,0.13,0.35,0.14,0.05,0.06,0.12,0.0,1.49,0.0,0.2,0.03
07/30/2025-16:06:29.276611,0.18,0.03,-0.0,0.0,0.0,-0.0,0.0,0.96,1.07,0.0,0.29,0.16,0.0,2.4,0.14,0.03,0.07,0.0,10.66,0.0,0.11,0.0,0.01,0.04,0.0,0.13,0.35,0.14,0.05,0.06,0.12,0.0,1.49,0.0,0.2,0.03
