MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:47:06.191054,0.0,0.05,0.0,-0.0,0.0,0.0,0.0,1.45,0.78,0.0,0.01,0.02,0.03,0.56,0.04,0.03,0.02,0.0,0.0,0.21,0.05,0.0,0.02,0.02,-0.0,0.3,0.32,0.34,0.13,-0.0,0.0,0.0,-0.0,0.0,0.11,0.06
07/30/2025-15:47:06.665641,0.0,0.05,0.0,-0.0,0.0,0.0,0.0,1.45,0.78,0.0,0.01,0.02,0.03,0.56,0.04,0.03,0.02,0.0,0.0,0.21,0.05,0.0,0.02,0.02,-0.0,0.3,0.32,0.34,0.13,-0.0,0.0,0.0,-0.0,0.0,0.11,0.06
07/30/2025-15:47:07.117338,0.0,0.08,0.0,0.0,0.08,0.0,0.0,1.43,0.28,0.02,0.0,0.0,0.01,0.0,0.05,0.02,0.0,0.01,0.0,-0.0,0.21,0.0,0.02,0.0,0.04,0.33,0.29,0.28,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.06
07/30/2025-15:47:07.597527,0.0,0.08,0.0,0.0,0.08,0.0,0.0,1.43,0.28,0.02,0.0,0.0,0.01,0.0,0.05,0.02,0.0,0.01,0.0,-0.0,0.21,0.0,0.02,0.0,0.04,0.33,0.29,0.28,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.06
07/30/2025-15:47:08.046166,0.0,0.08,0.0,0.0,0.08,0.0,0.0,1.43,0.28,0.02,0.0,0.0,0.01,0.0,0.05,0.02,0.0,0.01,0.0,-0.0,0.21,0.0,0.02,0.0,0.04,0.33,0.29,0.28,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.06
07/30/2025-15:47:08.492782,0.0,0.08,0.0,0.0,0.08,0.0,0.0,1.43,0.28,0.02,0.0,0.0,0.01,0.0,0.05,0.02,0.0,0.01,0.0,-0.0,0.21,0.0,0.02,0.0,0.04,0.33,0.29,0.28,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.06
07/30/2025-15:47:08.989967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.64,0.0,0.0,0.0,0.04,0.0,0.07,0.03,0.04,-0.0,0.0,0.38,0.14,0.0,0.03,-0.0,0.0,0.27,0.32,0.29,0.18,0.02,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:09.448392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.64,0.0,0.0,0.0,0.04,0.0,0.07,0.03,0.04,-0.0,0.0,0.38,0.14,0.0,0.03,-0.0,0.0,0.27,0.32,0.29,0.18,0.02,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:09.897838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.64,0.0,0.0,0.0,0.04,0.0,0.07,0.03,0.04,-0.0,0.0,0.38,0.14,0.0,0.03,-0.0,0.0,0.27,0.32,0.29,0.18,0.02,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:10.442015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.64,0.0,0.0,0.0,0.04,0.0,0.07,0.03,0.04,-0.0,0.0,0.38,0.14,0.0,0.03,-0.0,0.0,0.27,0.32,0.29,0.18,0.02,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:10.872122,0.09,0.43,-0.0,0.0,0.0,0.0,-0.0,1.47,0.64,0.0,0.0,-0.0,0.0,0.0,0.09,0.03,0.04,0.05,0.0,0.0,0.11,0.0,0.05,0.02,0.0,0.37,0.26,0.28,0.2,-0.0,0.0,0.0,0.0,0.0,0.18,0.05
07/30/2025-15:47:11.324978,0.09,0.43,-0.0,0.0,0.0,0.0,-0.0,1.47,0.64,0.0,0.0,-0.0,0.0,0.0,0.09,0.03,0.04,0.05,0.0,0.0,0.11,0.0,0.05,0.02,0.0,0.37,0.26,0.28,0.2,-0.0,0.0,0.0,0.0,0.0,0.18,0.05
07/30/2025-15:47:11.817184,0.09,0.43,-0.0,0.0,0.0,0.0,-0.0,1.47,0.64,0.0,0.0,-0.0,0.0,0.0,0.09,0.03,0.04,0.05,0.0,0.0,0.11,0.0,0.05,0.02,0.0,0.37,0.26,0.28,0.2,-0.0,0.0,0.0,0.0,0.0,0.18,0.05
07/30/2025-15:47:12.301104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,-0.0,0.0,0.06,0.03,0.03,0.0,0.07,0.01,0.04,0.02,1.43,0.17,0.19,0.0,0.04,0.02,0.0,0.42,0.42,0.16,0.21,-0.0,0.0,0.0,0.07,0.0,0.17,0.03
07/30/2025-15:47:12.772403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,-0.0,0.0,0.06,0.03,0.03,0.0,0.07,0.01,0.04,0.02,1.43,0.17,0.19,0.0,0.04,0.02,0.0,0.42,0.42,0.16,0.21,-0.0,0.0,0.0,0.07,0.0,0.17,0.03
07/30/2025-15:47:13.252217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,-0.0,0.0,0.06,0.03,0.03,0.0,0.07,0.01,0.04,0.02,1.43,0.17,0.19,0.0,0.04,0.02,0.0,0.42,0.42,0.16,0.21,-0.0,0.0,0.0,0.07,0.0,0.17,0.03
07/30/2025-15:47:13.734553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,-0.0,0.0,0.06,0.03,0.03,0.0,0.07,0.01,0.04,0.02,1.43,0.17,0.19,0.0,0.04,0.02,0.0,0.42,0.42,0.16,0.21,-0.0,0.0,0.0,0.07,0.0,0.17,0.03
07/30/2025-15:47:14.183426,0.0,0.05,0.06,0.0,0.0,0.0,0.0,1.35,-0.0,0.0,0.09,0.03,0.05,0.0,0.06,0.02,0.06,-0.0,1.43,0.04,0.26,0.0,0.03,0.0,0.0,0.3,0.47,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.06
07/30/2025-15:47:14.663587,0.0,0.05,0.06,0.0,0.0,0.0,0.0,1.35,-0.0,0.0,0.09,0.03,0.05,0.0,0.06,0.02,0.06,-0.0,1.43,0.04,0.26,0.0,0.03,0.0,0.0,0.3,0.47,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.06
07/30/2025-15:47:15.121648,0.0,0.05,0.06,0.0,0.0,0.0,0.0,1.35,-0.0,0.0,0.09,0.03,0.05,0.0,0.06,0.02,0.06,-0.0,1.43,0.04,0.26,0.0,0.03,0.0,0.0,0.3,0.47,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.06
07/30/2025-15:47:15.592040,0.0,0.05,0.06,0.0,0.0,0.0,0.0,1.35,-0.0,0.0,0.09,0.03,0.05,0.0,0.06,0.02,0.06,-0.0,1.43,0.04,0.26,0.0,0.03,0.0,0.0,0.3,0.47,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.06
07/30/2025-15:47:16.070531,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.11,0.14,0.0,-0.0,0.02,0.03,0.0,0.07,0.03,0.07,0.0,0.99,0.08,0.27,0.0,0.05,-0.0,0.08,0.0,0.37,0.1,0.26,0.05,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:16.491859,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.11,0.14,0.0,-0.0,0.02,0.03,0.0,0.07,0.03,0.07,0.0,0.99,0.08,0.27,0.0,0.05,-0.0,0.08,0.0,0.37,0.1,0.26,0.05,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:16.988623,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.11,0.14,0.0,-0.0,0.02,0.03,0.0,0.07,0.03,0.07,0.0,0.99,0.08,0.27,0.0,0.05,-0.0,0.08,0.0,0.37,0.1,0.26,0.05,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:17.447624,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.11,0.14,0.0,-0.0,0.02,0.03,0.0,0.07,0.03,0.07,0.0,0.99,0.08,0.27,0.0,0.05,-0.0,0.08,0.0,0.37,0.1,0.26,0.05,0.0,0.0,0.0,0.0,0.14,0.07
07/30/2025-15:47:17.915987,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.01,0.03,0.02,0.0,0.09,0.04,0.07,0.01,0.0,0.0,0.27,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.12,0.81,0.45
07/30/2025-15:47:18.387679,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.01,0.03,0.02,0.0,0.09,0.04,0.07,0.01,0.0,0.0,0.27,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.12,0.81,0.45
07/30/2025-15:47:18.843593,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.01,0.03,0.02,0.0,0.09,0.04,0.07,0.01,0.0,0.0,0.27,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.12,0.81,0.45
07/30/2025-15:47:19.362881,0.05,3.39,0.0,0.0,18.64,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.0,0.77,1.47,0.0,0.0,1.6,0.0,0.0,0.94,0.0,0.0,2.85,0.0,0.0,0.98,-0.0,0.0,0.2,0.0,0.09,1.39,0.72
07/30/2025-15:47:19.819545,0.05,3.39,0.0,0.0,18.64,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.0,0.77,1.47,0.0,0.0,1.6,0.0,0.0,0.94,0.0,0.0,2.85,0.0,0.0,0.98,-0.0,0.0,0.2,0.0,0.09,1.39,0.72
07/30/2025-15:47:20.270441,0.05,3.39,0.0,0.0,18.64,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03,0.0,0.0,0.77,1.47,0.0,0.0,1.6,0.0,0.0,0.94,0.0,0.0,2.85,0.0,0.0,0.98,-0.0,0.0,0.2,0.0,0.09,1.39,0.72
