MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:32:41.175461,0.05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.58,0.0,0.03,0.05,0.0,0.46,0.41,0.11,0.14,0.06,0.0,1.17,0.21,0.0,0.19,0.06,0.21,0.72,0.25,0.15,0.22,-0.0,0.19,0.28,1.67,0.0,0.0,0.05
07/30/2025-15:32:41.660574,0.05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.58,0.0,0.03,0.05,0.0,0.46,0.41,0.11,0.14,0.06,0.0,1.17,0.21,0.0,0.19,0.06,0.21,0.72,0.25,0.15,0.22,-0.0,0.19,0.28,1.67,0.0,0.0,0.05
07/30/2025-15:32:42.306434,0.05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.58,0.0,0.03,0.05,0.0,0.46,0.41,0.11,0.14,0.06,0.0,1.17,0.21,0.0,0.19,0.06,0.21,0.72,0.25,0.15,0.22,-0.0,0.19,0.28,1.67,0.0,0.0,0.05
07/30/2025-15:32:43.125561,0.0,0.0,0.0,0.0,0.05,-0.0,0.0,0.28,0.83,0.0,0.0,0.05,0.0,0.0,0.5,0.14,0.19,0.05,0.0,0.87,0.3,0.0,0.23,0.09,0.15,1.06,0.53,0.49,0.26,0.0,0.04,0.28,2.02,0.0,0.1,0.09
07/30/2025-15:32:44.156889,0.0,0.0,0.0,0.0,0.05,-0.0,0.0,0.28,0.83,0.0,0.0,0.05,0.0,0.0,0.5,0.14,0.19,0.05,0.0,0.87,0.3,0.0,0.23,0.09,0.15,1.06,0.53,0.49,0.26,0.0,0.04,0.28,2.02,0.0,0.1,0.09
07/30/2025-15:32:44.593904,0.09,0.0,0.0,0.01,0.1,0.0,0.0,0.7,0.04,0.0,0.05,0.08,0.0,2.08,0.38,0.17,0.2,0.06,0.0,1.13,0.38,0.0,0.29,0.07,0.07,1.25,1.1,1.28,0.29,0.0,0.02,0.27,3.58,0.0,0.02,0.07
07/30/2025-15:32:45.052276,0.09,0.0,0.0,0.01,0.1,0.0,0.0,0.7,0.04,0.0,0.05,0.08,0.0,2.08,0.38,0.17,0.2,0.06,0.0,1.13,0.38,0.0,0.29,0.07,0.07,1.25,1.1,1.28,0.29,0.0,0.02,0.27,3.58,0.0,0.02,0.07
07/30/2025-15:32:45.536361,0.09,0.0,0.0,0.01,0.1,0.0,0.0,0.7,0.04,0.0,0.05,0.08,0.0,2.08,0.38,0.17,0.2,0.06,0.0,1.13,0.38,0.0,0.29,0.07,0.07,1.25,1.1,1.28,0.29,0.0,0.02,0.27,3.58,0.0,0.02,0.07
07/30/2025-15:32:45.988612,0.09,0.0,0.0,0.01,0.1,0.0,0.0,0.7,0.04,0.0,0.05,0.08,0.0,2.08,0.38,0.17,0.2,0.06,0.0,1.13,0.38,0.0,0.29,0.07,0.07,1.25,1.1,1.28,0.29,0.0,0.02,0.27,3.58,0.0,0.02,0.07
07/30/2025-15:32:46.452452,0.14,0.0,0.0,-0.0,0.0,0.0,0.02,1.02,0.75,0.0,0.05,0.03,0.0,1.95,0.54,0.19,0.2,0.05,0.0,1.33,0.42,0.0,0.29,0.09,0.2,0.92,1.5,0.27,0.31,0.0,0.01,0.26,2.77,0.0,-0.0,0.11
07/30/2025-15:32:47.093929,0.14,0.0,0.0,-0.0,0.0,0.0,0.02,1.02,0.75,0.0,0.05,0.03,0.0,1.95,0.54,0.19,0.2,0.05,0.0,1.33,0.42,0.0,0.29,0.09,0.2,0.92,1.5,0.27,0.31,0.0,0.01,0.26,2.77,0.0,-0.0,0.11
