MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:35:24.991509,0.05,0.06,0.0,0.02,0.0,0.0,0.02,0.33,1.49,0.0,0.03,0.05,0.01,0.0,0.09,0.04,0.06,0.01,2.91,0.2,0.12,0.0,0.04,-0.0,0.0,0.2,0.93,0.62,0.07,0.03,0.0,0.03,0.0,0.03,0.06,0.04
07/30/2025-15:35:25.437001,0.05,0.06,0.0,0.02,0.0,0.0,0.02,0.33,1.49,0.0,0.03,0.05,0.01,0.0,0.09,0.04,0.06,0.01,2.91,0.2,0.12,0.0,0.04,-0.0,0.0,0.2,0.93,0.62,0.07,0.03,0.0,0.03,0.0,0.03,0.06,0.04
07/30/2025-15:35:25.996096,0.05,0.06,0.0,0.02,0.0,0.0,0.02,0.33,1.49,0.0,0.03,0.05,0.01,0.0,0.09,0.04,0.06,0.01,2.91,0.2,0.12,0.0,0.04,-0.0,0.0,0.2,0.93,0.62,0.07,0.03,0.0,0.03,0.0,0.03,0.06,0.04
07/30/2025-15:35:26.440508,0.05,0.06,0.0,0.02,0.0,0.0,0.02,0.33,1.49,0.0,0.03,0.05,0.01,0.0,0.09,0.04,0.06,0.01,2.91,0.2,0.12,0.0,0.04,-0.0,0.0,0.2,0.93,0.62,0.07,0.03,0.0,0.03,0.0,0.03,0.06,0.04
07/30/2025-15:35:26.893288,0.0,0.03,0.02,-0.0,0.0,0.0,0.02,0.08,2.55,0.0,0.01,0.05,-0.0,0.0,0.1,0.05,0.07,0.02,2.06,0.24,0.08,0.0,0.06,0.04,0.14,0.18,1.19,0.61,0.07,-0.0,0.0,0.04,0.0,0.06,0.1,0.04
07/30/2025-15:35:27.379028,0.0,0.03,0.02,-0.0,0.0,0.0,0.02,0.08,2.55,0.0,0.01,0.05,-0.0,0.0,0.1,0.05,0.07,0.02,2.06,0.24,0.08,0.0,0.06,0.04,0.14,0.18,1.19,0.61,0.07,-0.0,0.0,0.04,0.0,0.06,0.1,0.04
07/30/2025-15:35:27.826511,0.0,0.03,0.02,-0.0,0.0,0.0,0.02,0.08,2.55,0.0,0.01,0.05,-0.0,0.0,0.1,0.05,0.07,0.02,2.06,0.24,0.08,0.0,0.06,0.04,0.14,0.18,1.19,0.61,0.07,-0.0,0.0,0.04,0.0,0.06,0.1,0.04
07/30/2025-15:35:28.270710,0.0,0.03,0.02,-0.0,0.0,0.0,0.02,0.08,2.55,0.0,0.01,0.05,-0.0,0.0,0.1,0.05,0.07,0.02,2.06,0.24,0.08,0.0,0.06,0.04,0.14,0.18,1.19,0.61,0.07,-0.0,0.0,0.04,0.0,0.06,0.1,0.04
07/30/2025-15:35:28.739119,0.05,0.11,0.0,0.02,0.0,0.0,-0.0,0.25,1.91,0.0,0.04,0.06,0.0,0.0,0.09,0.05,0.08,0.01,2.91,-0.0,0.12,0.0,0.07,0.04,0.07,0.28,1.6,0.57,0.05,-0.0,0.0,0.08,0.0,0.0,0.14,0.06
07/30/2025-15:35:29.188760,0.05,0.11,0.0,0.02,0.0,0.0,-0.0,0.25,1.91,0.0,0.04,0.06,0.0,0.0,0.09,0.05,0.08,0.01,2.91,-0.0,0.12,0.0,0.07,0.04,0.07,0.28,1.6,0.57,0.05,-0.0,0.0,0.08,0.0,0.0,0.14,0.06
07/30/2025-15:35:29.639822,0.05,0.11,0.0,0.02,0.0,0.0,-0.0,0.25,1.91,0.0,0.04,0.06,0.0,0.0,0.09,0.05,0.08,0.01,2.91,-0.0,0.12,0.0,0.07,0.04,0.07,0.28,1.6,0.57,0.05,-0.0,0.0,0.08,0.0,0.0,0.14,0.06
07/30/2025-15:35:30.058761,0.05,0.11,0.0,0.02,0.0,0.0,-0.0,0.25,1.91,0.0,0.04,0.06,0.0,0.0,0.09,0.05,0.08,0.01,2.91,-0.0,0.12,0.0,0.07,0.04,0.07,0.28,1.6,0.57,0.05,-0.0,0.0,0.08,0.0,0.0,0.14,0.06
07/30/2025-15:35:30.506275,0.05,0.03,0.0,0.01,0.0,0.0,0.03,0.19,1.81,0.0,0.0,0.03,0.01,0.0,0.14,0.06,0.08,0.02,0.85,0.27,0.15,0.0,0.08,0.02,0.0,0.34,2.06,0.6,0.05,0.02,0.0,0.06,0.0,0.11,0.09,0.05
07/30/2025-15:35:30.988987,0.05,0.03,0.0,0.01,0.0,0.0,0.03,0.19,1.81,0.0,0.0,0.03,0.01,0.0,0.14,0.06,0.08,0.02,0.85,0.27,0.15,0.0,0.08,0.02,0.0,0.34,2.06,0.6,0.05,0.02,0.0,0.06,0.0,0.11,0.09,0.05
07/30/2025-15:35:31.448606,0.05,0.03,0.0,0.01,0.0,0.0,0.03,0.19,1.81,0.0,0.0,0.03,0.01,0.0,0.14,0.06,0.08,0.02,0.85,0.27,0.15,0.0,0.08,0.02,0.0,0.34,2.06,0.6,0.05,0.02,0.0,0.06,0.0,0.11,0.09,0.05
07/30/2025-15:35:31.968675,0.09,0.47,0.0,0.03,0.0,0.0,-0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.53,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.52,0.6,0.0,0.0,0.45,0.0,0.31,1.52,0.47
07/30/2025-15:35:32.408789,0.09,0.47,0.0,0.03,0.0,0.0,-0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.53,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.52,0.6,0.0,0.0,0.45,0.0,0.31,1.52,0.47
07/30/2025-15:35:32.898194,0.09,0.47,0.0,0.03,0.0,0.0,-0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.53,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.52,0.6,0.0,0.0,0.45,0.0,0.31,1.52,0.47
07/30/2025-15:35:33.407675,0.09,0.47,0.0,0.03,0.0,0.0,-0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.53,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.52,0.6,0.0,0.0,0.45,0.0,0.31,1.52,0.47
07/30/2025-15:35:33.863273,0.0,0.11,0.0,0.0,0.0,0.03,0.0,0.21,0.0,0.0,0.0,0.09,0.0,0.0,3.17,3.82,2.61,0.09,0.0,0.0,1.3,0.0,2.56,0.0,0.0,6.47,0.0,1.14,0.76,0.0,0.92,0.41,0.0,0.28,1.95,0.34
07/30/2025-15:35:34.330202,0.0,0.11,0.0,0.0,0.0,0.03,0.0,0.21,0.0,0.0,0.0,0.09,0.0,0.0,3.17,3.82,2.61,0.09,0.0,0.0,1.3,0.0,2.56,0.0,0.0,6.47,0.0,1.14,0.76,0.0,0.92,0.41,0.0,0.28,1.95,0.34
07/30/2025-15:35:34.801305,0.0,0.11,0.0,0.0,0.0,0.03,0.0,0.21,0.0,0.0,0.0,0.09,0.0,0.0,3.17,3.82,2.61,0.09,0.0,0.0,1.3,0.0,2.56,0.0,0.0,6.47,0.0,1.14,0.76,0.0,0.92,0.41,0.0,0.28,1.95,0.34
07/30/2025-15:35:35.248068,0.0,0.11,0.0,0.0,0.0,0.03,0.0,0.21,0.0,0.0,0.0,0.09,0.0,0.0,3.17,3.82,2.61,0.09,0.0,0.0,1.3,0.0,2.56,0.0,0.0,6.47,0.0,1.14,0.76,0.0,0.92,0.41,0.0,0.28,1.95,0.34
07/30/2025-15:35:35.745732,0.0,0.11,0.0,0.03,0.0,0.07,0.0,4.22,45.07,0.0,0.0,0.08,0.0,0.0,4.13,4.69,2.96,0.0,4.73,0.0,1.9,0.53,2.98,-0.0,0.0,8.73,0.0,0.35,1.05,0.02,1.89,1.18,0.0,0.2,1.94,0.62
07/30/2025-15:35:36.236608,0.0,0.11,0.0,0.03,0.0,0.07,0.0,4.22,45.07,0.0,0.0,0.08,0.0,0.0,4.13,4.69,2.96,0.0,4.73,0.0,1.9,0.53,2.98,-0.0,0.0,8.73,0.0,0.35,1.05,0.02,1.89,1.18,0.0,0.2,1.94,0.62
07/30/2025-15:35:36.747342,0.0,0.11,0.0,0.03,0.0,0.07,0.0,4.22,45.07,0.0,0.0,0.08,0.0,0.0,4.13,4.69,2.96,0.0,4.73,0.0,1.9,0.53,2.98,-0.0,0.0,8.73,0.0,0.35,1.05,0.02,1.89,1.18,0.0,0.2,1.94,0.62
07/30/2025-15:35:37.230154,0.0,0.11,0.0,-0.0,0.0,0.04,-0.0,5.36,80.99,0.0,0.0,0.11,0.0,0.0,4.32,4.74,3.04,0.0,4.24,0.0,2.52,0.32,3.28,0.04,0.0,12.08,0.0,0.49,1.21,0.08,2.05,1.49,0.0,0.11,2.3,0.72
07/30/2025-15:35:37.680426,0.0,0.11,0.0,-0.0,0.0,0.04,-0.0,5.36,80.99,0.0,0.0,0.11,0.0,0.0,4.32,4.74,3.04,0.0,4.24,0.0,2.52,0.32,3.28,0.04,0.0,12.08,0.0,0.49,1.21,0.08,2.05,1.49,0.0,0.11,2.3,0.72
07/30/2025-15:35:38.188971,0.0,0.11,0.0,-0.0,0.0,0.04,-0.0,5.36,80.99,0.0,0.0,0.11,0.0,0.0,4.32,4.74,3.04,0.0,4.24,0.0,2.52,0.32,3.28,0.04,0.0,12.08,0.0,0.49,1.21,0.08,2.05,1.49,0.0,0.11,2.3,0.72
07/30/2025-15:35:38.685005,0.0,0.11,0.0,-0.0,0.0,0.04,-0.0,5.36,80.99,0.0,0.0,0.11,0.0,0.0,4.32,4.74,3.04,0.0,4.24,0.0,2.52,0.32,3.28,0.04,0.0,12.08,0.0,0.49,1.21,0.08,2.05,1.49,0.0,0.11,2.3,0.72
07/30/2025-15:35:39.162855,0.0,0.0,0.0,0.0,0.0,0.08,0.03,6.73,84.92,0.0,0.0,0.16,0.04,2.59,4.36,4.16,2.9,0.0,4.48,0.0,2.95,0.0,3.54,0.08,0.0,12.83,2.68,0.88,1.35,0.02,2.7,1.52,0.0,0.14,2.43,0.75
07/30/2025-15:35:39.650565,0.0,0.0,0.0,0.0,0.0,0.08,0.03,6.73,84.92,0.0,0.0,0.16,0.04,2.59,4.36,4.16,2.9,0.0,4.48,0.0,2.95,0.0,3.54,0.08,0.0,12.83,2.68,0.88,1.35,0.02,2.7,1.52,0.0,0.14,2.43,0.75
07/30/2025-15:35:40.093615,0.0,0.0,0.0,0.0,0.0,0.08,0.03,6.73,84.92,0.0,0.0,0.16,0.04,2.59,4.36,4.16,2.9,0.0,4.48,0.0,2.95,0.0,3.54,0.08,0.0,12.83,2.68,0.88,1.35,0.02,2.7,1.52,0.0,0.14,2.43,0.75
