MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:54:30.223654,0.09,0.0,0.06,0.03,0.0,0.01,-0.0,0.58,0.0,0.0,0.14,0.07,-0.0,0.54,0.15,0.03,0.04,0.02,0.06,0.0,0.12,0.0,0.01,0.02,0.0,0.04,0.0,0.0,-0.0,0.03,0.21,0.0,1.2,0.0,0.0,-0.0
07/30/2025-15:54:30.688328,0.0,0.0,0.12,0.09,0.0,0.0,-0.0,0.94,0.05,0.0,0.1,0.09,0.0,0.0,0.16,0.02,0.06,0.1,0.25,0.21,0.15,0.0,0.02,-0.0,0.0,0.35,0.0,0.0,-0.0,0.06,0.13,-0.0,1.36,0.09,0.0,0.02
07/30/2025-15:54:31.184933,0.0,0.0,0.12,0.09,0.0,0.0,-0.0,0.94,0.05,0.0,0.1,0.09,0.0,0.0,0.16,0.02,0.06,0.1,0.25,0.21,0.15,0.0,0.02,-0.0,0.0,0.35,0.0,0.0,-0.0,0.06,0.13,-0.0,1.36,0.09,0.0,0.02
07/30/2025-15:54:31.641326,0.0,0.0,0.12,0.09,0.0,0.0,-0.0,0.94,0.05,0.0,0.1,0.09,0.0,0.0,0.16,0.02,0.06,0.1,0.25,0.21,0.15,0.0,0.02,-0.0,0.0,0.35,0.0,0.0,-0.0,0.06,0.13,-0.0,1.36,0.09,0.0,0.02
07/30/2025-15:54:32.181940,0.0,0.0,0.12,0.09,0.0,0.0,-0.0,0.94,0.05,0.0,0.1,0.09,0.0,0.0,0.16,0.02,0.06,0.1,0.25,0.21,0.15,0.0,0.02,-0.0,0.0,0.35,0.0,0.0,-0.0,0.06,0.13,-0.0,1.36,0.09,0.0,0.02
07/30/2025-15:54:32.631813,0.05,0.0,0.12,0.0,0.0,0.0,0.03,1.12,0.0,0.0,0.19,0.06,0.0,0.59,0.19,0.04,0.07,0.11,0.68,0.35,0.0,0.0,0.04,-0.0,0.0,0.31,0.0,0.07,0.02,0.03,0.25,0.04,1.64,0.0,0.0,0.05
07/30/2025-15:54:33.083363,0.05,0.0,0.12,0.0,0.0,0.0,0.03,1.12,0.0,0.0,0.19,0.06,0.0,0.59,0.19,0.04,0.07,0.11,0.68,0.35,0.0,0.0,0.04,-0.0,0.0,0.31,0.0,0.07,0.02,0.03,0.25,0.04,1.64,0.0,0.0,0.05
07/30/2025-15:54:33.521524,0.05,0.0,0.12,0.0,0.0,0.0,0.03,1.12,0.0,0.0,0.19,0.06,0.0,0.59,0.19,0.04,0.07,0.11,0.68,0.35,0.0,0.0,0.04,-0.0,0.0,0.31,0.0,0.07,0.02,0.03,0.25,0.04,1.64,0.0,0.0,0.05
07/30/2025-15:54:34.014341,0.05,0.0,0.12,0.0,0.0,0.0,0.03,1.12,0.0,0.0,0.19,0.06,0.0,0.59,0.19,0.04,0.07,0.11,0.68,0.35,0.0,0.0,0.04,-0.0,0.0,0.31,0.0,0.07,0.02,0.03,0.25,0.04,1.64,0.0,0.0,0.05
07/30/2025-15:54:34.445990,0.14,0.11,0.15,0.0,0.0,0.01,0.03,1.04,0.0,0.0,0.23,0.12,0.0,1.29,0.22,0.02,0.07,0.02,0.0,0.0,0.06,0.0,0.04,0.02,0.0,0.57,0.06,0.15,0.02,0.05,0.27,0.0,1.2,0.0,-0.0,0.04
