MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-16:01:49.630063,0.0,0.03,0.04,0.02,0.0,-0.0,-0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.07,0.02,0.06,0.05,0.51,0.2,0.02,0.0,0.04,-0.0,0.29,0.0,0.04,0.08,0.03,0.0,0.09,0.04,1.94,0.0,0.1,0.04
07/30/2025-16:01:50.080577,0.0,0.03,0.04,0.02,0.0,-0.0,-0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.07,0.02,0.06,0.05,0.51,0.2,0.02,0.0,0.04,-0.0,0.29,0.0,0.04,0.08,0.03,0.0,0.09,0.04,1.94,0.0,0.1,0.04
07/30/2025-16:01:50.561672,0.0,0.08,-0.0,0.03,0.0,0.0,-0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.05,0.03,0.06,0.03,0.0,0.0,-0.0,0.0,0.04,0.02,0.31,0.0,0.26,0.0,0.03,-0.0,0.02,0.03,1.46,0.0,0.12,0.05
07/30/2025-16:01:51.010821,0.0,0.08,-0.0,0.03,0.0,0.0,-0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.05,0.03,0.06,0.03,0.0,0.0,-0.0,0.0,0.04,0.02,0.31,0.0,0.26,0.0,0.03,-0.0,0.02,0.03,1.46,0.0,0.12,0.05
07/30/2025-16:01:51.474303,0.0,0.08,-0.0,0.03,0.0,0.0,-0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.05,0.03,0.06,0.03,0.0,0.0,-0.0,0.0,0.04,0.02,0.31,0.0,0.26,0.0,0.03,-0.0,0.02,0.03,1.46,0.0,0.12,0.05
07/30/2025-16:01:51.912213,0.0,0.08,-0.0,0.03,0.0,0.0,-0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.05,0.03,0.06,0.03,0.0,0.0,-0.0,0.0,0.04,0.02,0.31,0.0,0.26,0.0,0.03,-0.0,0.02,0.03,1.46,0.0,0.12,0.05
07/30/2025-16:01:52.384427,0.0,0.05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,-0.0,0.0,0.09,0.04,0.08,0.1,3.49,-0.0,0.04,0.0,0.04,0.04,0.19,-0.0,0.48,0.0,0.0,-0.0,0.1,0.11,2.61,0.0,0.13,0.06
07/30/2025-16:01:52.834493,0.0,0.05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,-0.0,0.0,0.09,0.04,0.08,0.1,3.49,-0.0,0.04,0.0,0.04,0.04,0.19,-0.0,0.48,0.0,0.0,-0.0,0.1,0.11,2.61,0.0,0.13,0.06
07/30/2025-16:01:53.283355,0.0,0.05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,-0.0,0.0,0.09,0.04,0.08,0.1,3.49,-0.0,0.04,0.0,0.04,0.04,0.19,-0.0,0.48,0.0,0.0,-0.0,0.1,0.11,2.61,0.0,0.13,0.06
07/30/2025-16:01:53.732045,0.0,0.05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,-0.0,0.0,0.09,0.04,0.08,0.1,3.49,-0.0,0.04,0.0,0.04,0.04,0.19,-0.0,0.48,0.0,0.0,-0.0,0.1,0.11,2.61,0.0,0.13,0.06
07/30/2025-16:01:54.211103,0.0,0.03,0.0,0.0,0.09,0.0,-0.0,0.24,0.0,0.01,0.06,0.0,0.0,0.0,0.11,0.06,0.11,0.11,3.49,0.31,0.11,0.0,0.04,0.04,0.12,0.48,0.45,0.0,0.06,-0.0,0.09,0.12,2.61,0.0,0.19,0.02
07/30/2025-16:01:54.655806,0.0,0.03,0.0,0.0,0.09,0.0,-0.0,0.24,0.0,0.01,0.06,0.0,0.0,0.0,0.11,0.06,0.11,0.11,3.49,0.31,0.11,0.0,0.04,0.04,0.12,0.48,0.45,0.0,0.06,-0.0,0.09,0.12,2.61,0.0,0.19,0.02
07/30/2025-16:01:55.093984,0.0,0.03,0.0,0.0,0.09,0.0,-0.0,0.24,0.0,0.01,0.06,0.0,0.0,0.0,0.11,0.06,0.11,0.11,3.49,0.31,0.11,0.0,0.04,0.04,0.12,0.48,0.45,0.0,0.06,-0.0,0.09,0.12,2.61,0.0,0.19,0.02
07/30/2025-16:01:55.583804,0.0,0.03,0.0,0.0,0.09,0.0,-0.0,0.24,0.0,0.01,0.06,0.0,0.0,0.0,0.11,0.06,0.11,0.11,3.49,0.31,0.11,0.0,0.04,0.04,0.12,0.48,0.45,0.0,0.06,-0.0,0.09,0.12,2.61,0.0,0.19,0.02
07/30/2025-16:01:56.013862,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.02,0.5,0.19,0.08,0.14,0.03,2.87,0.08,0.11,0.0,0.08,-0.0,0.1,0.44,0.51,0.0,0.05,-0.0,0.11,0.17,1.35,0.0,0.18,0.07
07/30/2025-16:01:56.492601,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.02,0.5,0.19,0.08,0.14,0.03,2.87,0.08,0.11,0.0,0.08,-0.0,0.1,0.44,0.51,0.0,0.05,-0.0,0.11,0.17,1.35,0.0,0.18,0.07
07/30/2025-16:01:56.955757,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.02,0.5,0.19,0.08,0.14,0.03,2.87,0.08,0.11,0.0,0.08,-0.0,0.1,0.44,0.51,0.0,0.05,-0.0,0.11,0.17,1.35,0.0,0.18,0.07
07/30/2025-16:01:57.509607,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.02,0.5,0.19,0.08,0.14,0.03,2.87,0.08,0.11,0.0,0.08,-0.0,0.1,0.44,0.51,0.0,0.05,-0.0,0.11,0.17,1.35,0.0,0.18,0.07
07/30/2025-16:01:57.976946,0.0,0.03,0.0,0.02,0.09,0.0,0.0,0.54,0.0,0.0,0.09,0.0,0.01,0.0,0.23,0.06,0.16,0.04,2.98,0.0,0.1,0.0,0.09,0.0,0.0,0.0,0.71,0.0,0.06,-0.0,0.17,0.0,1.2,0.0,0.16,0.08
07/30/2025-16:01:58.462257,0.0,0.03,0.0,0.02,0.09,0.0,0.0,0.54,0.0,0.0,0.09,0.0,0.01,0.0,0.23,0.06,0.16,0.04,2.98,0.0,0.1,0.0,0.09,0.0,0.0,0.0,0.71,0.0,0.06,-0.0,0.17,0.0,1.2,0.0,0.16,0.08
07/30/2025-16:01:59.063407,0.0,0.03,0.0,0.02,0.09,0.0,0.0,0.54,0.0,0.0,0.09,0.0,0.01,0.0,0.23,0.06,0.16,0.04,2.98,0.0,0.1,0.0,0.09,0.0,0.0,0.0,0.71,0.0,0.06,-0.0,0.17,0.0,1.2,0.0,0.16,0.08
07/30/2025-16:01:59.546196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.44,2.32,0.0,1.23,0.0,0.0,0.34,0.84,0.2,0.0,1.09,0.0,0.0,0.13,0.0,0.18,0.17,0.0,4.49,0.25,0.75
07/30/2025-16:01:59.974725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.44,2.32,0.0,1.23,0.0,0.0,0.34,0.84,0.2,0.0,1.09,0.0,0.0,0.13,0.0,0.18,0.17,0.0,4.49,0.25,0.75
07/30/2025-16:02:00.480890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.44,2.32,0.0,1.23,0.0,0.0,0.34,0.84,0.2,0.0,1.09,0.0,0.0,0.13,0.0,0.18,0.17,0.0,4.49,0.25,0.75
07/30/2025-16:02:00.922115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.44,2.32,0.0,1.23,0.0,0.0,0.34,0.84,0.2,0.0,1.09,0.0,0.0,0.13,0.0,0.18,0.17,0.0,4.49,0.25,0.75
07/30/2025-16:02:01.461708,0.0,0.0,0.0,0.0,14.69,0.0,0.03,3.73,0.0,0.0,0.41,0.0,0.0,1.64,3.36,1.7,3.35,0.0,2.98,0.0,0.02,0.0,1.01,0.06,0.0,5.55,0.0,0.0,0.19,0.0,-0.0,0.43,0.0,1.97,0.23,1.04
07/30/2025-16:02:01.904389,0.0,0.0,0.0,0.0,14.69,0.0,0.03,3.73,0.0,0.0,0.41,0.0,0.0,1.64,3.36,1.7,3.35,0.0,2.98,0.0,0.02,0.0,1.01,0.06,0.0,5.55,0.0,0.0,0.19,0.0,-0.0,0.43,0.0,1.97,0.23,1.04
07/30/2025-16:02:02.426393,0.0,0.0,0.0,0.0,14.69,0.0,0.03,3.73,0.0,0.0,0.41,0.0,0.0,1.64,3.36,1.7,3.35,0.0,2.98,0.0,0.02,0.0,1.01,0.06,0.0,5.55,0.0,0.0,0.19,0.0,-0.0,0.43,0.0,1.97,0.23,1.04
07/30/2025-16:02:02.909342,0.0,1.12,0.0,0.0,10.78,0.0,0.0,5.5,0.0,0.0,2.75,0.0,0.0,3.92,4.91,2.15,4.31,0.0,2.87,1.88,0.39,0.0,1.25,0.38,0.07,8.37,0.0,0.0,0.21,0.0,0.2,0.55,0.0,1.26,0.28,1.2
07/30/2025-16:02:03.378701,0.0,1.12,0.0,0.0,10.78,0.0,0.0,5.5,0.0,0.0,2.75,0.0,0.0,3.92,4.91,2.15,4.31,0.0,2.87,1.88,0.39,0.0,1.25,0.38,0.07,8.37,0.0,0.0,0.21,0.0,0.2,0.55,0.0,1.26,0.28,1.2
07/30/2025-16:02:03.868373,0.0,1.12,0.0,0.0,10.78,0.0,0.0,5.5,0.0,0.0,2.75,0.0,0.0,3.92,4.91,2.15,4.31,0.0,2.87,1.88,0.39,0.0,1.25,0.38,0.07,8.37,0.0,0.0,0.21,0.0,0.2,0.55,0.0,1.26,0.28,1.2
07/30/2025-16:02:04.312888,0.0,1.12,0.0,0.0,10.78,0.0,0.0,5.5,0.0,0.0,2.75,0.0,0.0,3.92,4.91,2.15,4.31,0.0,2.87,1.88,0.39,0.0,1.25,0.38,0.07,8.37,0.0,0.0,0.21,0.0,0.2,0.55,0.0,1.26,0.28,1.2
07/30/2025-16:02:04.846438,0.0,0.66,0.0,0.0,3.15,0.0,0.03,7.97,0.0,0.0,4.44,0.0,0.0,9.13,5.42,2.24,4.48,0.0,3.69,1.92,0.73,0.0,1.32,0.47,0.17,10.1,0.03,0.0,0.24,0.0,0.01,0.57,0.0,1.18,0.31,1.27
07/30/2025-16:02:05.362614,0.0,0.66,0.0,0.0,3.15,0.0,0.03,7.97,0.0,0.0,4.44,0.0,0.0,9.13,5.42,2.24,4.48,0.0,3.69,1.92,0.73,0.0,1.32,0.47,0.17,10.1,0.03,0.0,0.24,0.0,0.01,0.57,0.0,1.18,0.31,1.27
07/30/2025-16:02:05.797459,0.0,0.66,0.0,0.0,3.15,0.0,0.03,7.97,0.0,0.0,4.44,0.0,0.0,9.13,5.42,2.24,4.48,0.0,3.69,1.92,0.73,0.0,1.32,0.47,0.17,10.1,0.03,0.0,0.24,0.0,0.01,0.57,0.0,1.18,0.31,1.27
07/30/2025-16:02:06.314451,0.0,0.66,0.0,0.0,3.15,0.0,0.03,7.97,0.0,0.0,4.44,0.0,0.0,9.13,5.42,2.24,4.48,0.0,3.69,1.92,0.73,0.0,1.32,0.47,0.17,10.1,0.03,0.0,0.24,0.0,0.01,0.57,0.0,1.18,0.31,1.27
