MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:39:03.783785,0.0,0.0,0.08,0.01,0.0,0.01,0.02,0.39,0.31,0.0,0.04,0.02,0.0,0.87,0.2,0.05,0.07,0.0,1.42,0.61,0.01,0.0,0.07,0.02,0.01,0.76,2.35,0.06,0.02,0.02,0.38,0.14,0.0,0.06,0.08,0.04
07/30/2025-15:39:04.205025,0.0,0.0,0.08,0.01,0.0,0.01,0.02,0.39,0.31,0.0,0.04,0.02,0.0,0.87,0.2,0.05,0.07,0.0,1.42,0.61,0.01,0.0,0.07,0.02,0.01,0.76,2.35,0.06,0.02,0.02,0.38,0.14,0.0,0.06,0.08,0.04
07/30/2025-15:39:04.678265,0.0,0.0,0.08,0.01,0.0,0.01,0.02,0.39,0.31,0.0,0.04,0.02,0.0,0.87,0.2,0.05,0.07,0.0,1.42,0.61,0.01,0.0,0.07,0.02,0.01,0.76,2.35,0.06,0.02,0.02,0.38,0.14,0.0,0.06,0.08,0.04
07/30/2025-15:39:05.216851,0.0,0.0,0.08,0.01,0.0,0.01,0.02,0.39,0.31,0.0,0.04,0.02,0.0,0.87,0.2,0.05,0.07,0.0,1.42,0.61,0.01,0.0,0.07,0.02,0.01,0.76,2.35,0.06,0.02,0.02,0.38,0.14,0.0,0.06,0.08,0.04
07/30/2025-15:39:05.653825,0.27,0.0,0.06,0.04,0.0,0.01,0.0,0.0,0.48,0.0,0.0,-0.0,0.0,1.01,0.2,0.06,0.07,0.0,1.9,0.87,0.0,0.0,0.06,-0.0,0.0,0.79,2.49,0.01,-0.0,0.0,0.0,0.16,0.0,0.03,0.07,0.07
07/30/2025-15:39:06.107510,0.27,0.0,0.06,0.04,0.0,0.01,0.0,0.0,0.48,0.0,0.0,-0.0,0.0,1.01,0.2,0.06,0.07,0.0,1.9,0.87,0.0,0.0,0.06,-0.0,0.0,0.79,2.49,0.01,-0.0,0.0,0.0,0.16,0.0,0.03,0.07,0.07
07/30/2025-15:39:06.597043,0.27,0.0,0.06,0.04,0.0,0.01,0.0,0.0,0.48,0.0,0.0,-0.0,0.0,1.01,0.2,0.06,0.07,0.0,1.9,0.87,0.0,0.0,0.06,-0.0,0.0,0.79,2.49,0.01,-0.0,0.0,0.0,0.16,0.0,0.03,0.07,0.07
07/30/2025-15:39:07.069071,0.27,0.0,0.06,0.04,0.0,0.01,0.0,0.0,0.48,0.0,0.0,-0.0,0.0,1.01,0.2,0.06,0.07,0.0,1.9,0.87,0.0,0.0,0.06,-0.0,0.0,0.79,2.49,0.01,-0.0,0.0,0.0,0.16,0.0,0.03,0.07,0.07
07/30/2025-15:39:07.598437,0.23,0.0,-0.0,0.02,0.0,0.03,0.0,0.0,0.23,0.0,0.11,0.0,0.0,-0.0,0.19,0.07,0.08,0.0,2.06,0.74,0.0,0.0,0.03,0.02,0.26,1.09,3.39,0.17,0.04,0.02,0.0,0.14,0.0,0.0,0.09,0.07
07/30/2025-15:39:08.068566,0.23,0.0,-0.0,0.02,0.0,0.03,0.0,0.0,0.23,0.0,0.11,0.0,0.0,-0.0,0.19,0.07,0.08,0.0,2.06,0.74,0.0,0.0,0.03,0.02,0.26,1.09,3.39,0.17,0.04,0.02,0.0,0.14,0.0,0.0,0.09,0.07
07/30/2025-15:39:08.585104,0.23,0.0,-0.0,0.02,0.0,0.03,0.0,0.0,0.23,0.0,0.11,0.0,0.0,-0.0,0.19,0.07,0.08,0.0,2.06,0.74,0.0,0.0,0.03,0.02,0.26,1.09,3.39,0.17,0.04,0.02,0.0,0.14,0.0,0.0,0.09,0.07
07/30/2025-15:39:09.060110,0.23,0.0,-0.0,0.02,0.0,0.03,0.0,0.0,0.23,0.0,0.11,0.0,0.0,-0.0,0.19,0.07,0.08,0.0,2.06,0.74,0.0,0.0,0.03,0.02,0.26,1.09,3.39,0.17,0.04,0.02,0.0,0.14,0.0,0.0,0.09,0.07
07/30/2025-15:39:09.528757,0.14,0.0,0.04,0.01,0.0,0.02,0.02,0.0,0.28,0.0,0.14,0.0,0.0,0.0,-0.0,0.06,0.08,0.0,1.11,0.71,0.02,0.0,0.07,-0.0,0.0,0.0,3.53,0.29,0.04,0.03,0.0,0.03,0.0,0.06,0.12,0.07
07/30/2025-15:39:09.980733,0.14,0.0,0.04,0.01,0.0,0.02,0.02,0.0,0.28,0.0,0.14,0.0,0.0,0.0,-0.0,0.06,0.08,0.0,1.11,0.71,0.02,0.0,0.07,-0.0,0.0,0.0,3.53,0.29,0.04,0.03,0.0,0.03,0.0,0.06,0.12,0.07
07/30/2025-15:39:10.426817,0.14,0.0,0.04,0.01,0.0,0.02,0.02,0.0,0.28,0.0,0.14,0.0,0.0,0.0,-0.0,0.06,0.08,0.0,1.11,0.71,0.02,0.0,0.07,-0.0,0.0,0.0,3.53,0.29,0.04,0.03,0.0,0.03,0.0,0.06,0.12,0.07
07/30/2025-15:39:10.864763,0.14,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.28,0.02,0.03,0.02,0.0,0.0,0.02,0.07,0.1,0.0,3.64,0.68,0.03,0.0,0.07,0.06,0.04,0.0,3.39,0.31,0.09,0.03,0.02,0.07,0.0,0.06,0.12,0.09
07/30/2025-15:39:11.345481,0.14,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.28,0.02,0.03,0.02,0.0,0.0,0.02,0.07,0.1,0.0,3.64,0.68,0.03,0.0,0.07,0.06,0.04,0.0,3.39,0.31,0.09,0.03,0.02,0.07,0.0,0.06,0.12,0.09
07/30/2025-15:39:11.790771,0.14,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.28,0.02,0.03,0.02,0.0,0.0,0.02,0.07,0.1,0.0,3.64,0.68,0.03,0.0,0.07,0.06,0.04,0.0,3.39,0.31,0.09,0.03,0.02,0.07,0.0,0.06,0.12,0.09
07/30/2025-15:39:12.250337,0.14,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.28,0.02,0.03,0.02,0.0,0.0,0.02,0.07,0.1,0.0,3.64,0.68,0.03,0.0,0.07,0.06,0.04,0.0,3.39,0.31,0.09,0.03,0.02,0.07,0.0,0.06,0.12,0.09
