MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:41:44.600266,0.09,0.03,0.0,0.0,0.0,0.04,0.02,0.2,0.85,0.0,0.11,0.14,0.0,2.77,0.3,0.06,0.22,-0.0,0.58,0.0,0.08,0.0,0.05,0.08,0.0,0.33,3.16,0.0,0.02,0.05,0.0,0.03,0.42,0.0,0.0,0.17
07/30/2025-15:41:45.085574,0.09,0.03,0.0,0.0,0.0,0.04,0.02,0.2,0.85,0.0,0.11,0.14,0.0,2.77,0.3,0.06,0.22,-0.0,0.58,0.0,0.08,0.0,0.05,0.08,0.0,0.33,3.16,0.0,0.02,0.05,0.0,0.03,0.42,0.0,0.0,0.17
07/30/2025-15:41:45.514044,0.09,0.03,0.0,0.0,0.0,0.04,0.02,0.2,0.85,0.0,0.11,0.14,0.0,2.77,0.3,0.06,0.22,-0.0,0.58,0.0,0.08,0.0,0.05,0.08,0.0,0.33,3.16,0.0,0.02,0.05,0.0,0.03,0.42,0.0,0.0,0.17
07/30/2025-15:41:45.957263,0.09,0.03,0.0,0.0,0.0,0.04,0.02,0.2,0.85,0.0,0.11,0.14,0.0,2.77,0.3,0.06,0.22,-0.0,0.58,0.0,0.08,0.0,0.05,0.08,0.0,0.33,3.16,0.0,0.02,0.05,0.0,0.03,0.42,0.0,0.0,0.17
07/30/2025-15:41:46.413358,0.09,0.0,0.0,0.0,0.05,0.03,0.0,1.12,0.85,0.0,0.07,0.14,0.0,1.25,0.29,0.07,0.25,0.02,0.74,0.0,0.06,0.0,0.04,0.08,0.0,0.57,3.28,0.0,0.06,0.06,0.0,0.1,0.7,0.03,0.0,0.19
07/30/2025-15:41:46.849599,0.09,0.0,0.0,0.0,0.05,0.03,0.0,1.12,0.85,0.0,0.07,0.14,0.0,1.25,0.29,0.07,0.25,0.02,0.74,0.0,0.06,0.0,0.04,0.08,0.0,0.57,3.28,0.0,0.06,0.06,0.0,0.1,0.7,0.03,0.0,0.19
07/30/2025-15:41:47.303557,0.09,0.0,0.0,0.0,0.05,0.03,0.0,1.12,0.85,0.0,0.07,0.14,0.0,1.25,0.29,0.07,0.25,0.02,0.74,0.0,0.06,0.0,0.04,0.08,0.0,0.57,3.28,0.0,0.06,0.06,0.0,0.1,0.7,0.03,0.0,0.19
07/30/2025-15:41:47.741784,0.09,0.0,0.0,0.0,0.05,0.03,0.0,1.12,0.85,0.0,0.07,0.14,0.0,1.25,0.29,0.07,0.25,0.02,0.74,0.0,0.06,0.0,0.04,0.08,0.0,0.57,3.28,0.0,0.06,0.06,0.0,0.1,0.7,0.03,0.0,0.19
07/30/2025-15:41:48.358363,0.09,0.08,0.06,0.0,0.09,0.03,0.02,1.42,1.23,0.0,0.07,0.15,0.0,1.46,0.35,0.09,0.27,-0.0,0.33,0.0,0.14,0.0,0.05,0.08,0.02,0.63,3.44,0.0,-0.0,0.06,0.0,-0.0,0.81,0.08,0.0,0.16
07/30/2025-15:41:48.940208,0.09,0.08,0.06,0.0,0.09,0.03,0.02,1.42,1.23,0.0,0.07,0.15,0.0,1.46,0.35,0.09,0.27,-0.0,0.33,0.0,0.14,0.0,0.05,0.08,0.02,0.63,3.44,0.0,-0.0,0.06,0.0,-0.0,0.81,0.08,0.0,0.16
07/30/2025-15:41:49.439414,0.09,0.08,0.06,0.0,0.09,0.03,0.02,1.42,1.23,0.0,0.07,0.15,0.0,1.46,0.35,0.09,0.27,-0.0,0.33,0.0,0.14,0.0,0.05,0.08,0.02,0.63,3.44,0.0,-0.0,0.06,0.0,-0.0,0.81,0.08,0.0,0.16
07/30/2025-15:41:49.879077,0.09,0.0,0.08,0.0,0.0,0.04,0.05,1.35,1.17,0.0,0.09,0.18,0.0,0.76,0.32,0.11,0.29,0.03,0.0,0.0,0.14,0.0,0.06,0.06,0.05,0.54,3.16,0.0,-0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.22
07/30/2025-15:41:50.373642,0.09,0.0,0.08,0.0,0.0,0.04,0.05,1.35,1.17,0.0,0.09,0.18,0.0,0.76,0.32,0.11,0.29,0.03,0.0,0.0,0.14,0.0,0.06,0.06,0.05,0.54,3.16,0.0,-0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.22
07/30/2025-15:41:50.857836,0.09,0.0,0.08,0.0,0.0,0.04,0.05,1.35,1.17,0.0,0.09,0.18,0.0,0.76,0.32,0.11,0.29,0.03,0.0,0.0,0.14,0.0,0.06,0.06,0.05,0.54,3.16,0.0,-0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.22
07/30/2025-15:41:51.310325,0.09,0.0,0.08,0.0,0.0,0.04,0.05,1.35,1.17,0.0,0.09,0.18,0.0,0.76,0.32,0.11,0.29,0.03,0.0,0.0,0.14,0.0,0.06,0.06,0.05,0.54,3.16,0.0,-0.0,0.0,0.0,0.0,0.96,0.03,0.0,0.22
07/30/2025-15:41:51.751575,0.0,0.03,0.11,0.0,0.0,0.01,0.02,1.04,1.63,0.0,0.11,0.17,-0.0,2.3,0.33,0.12,0.31,0.03,0.17,0.0,0.15,0.0,0.07,0.04,0.0,0.7,3.16,0.0,-0.0,0.09,0.0,0.0,1.25,0.08,0.04,0.23
