MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:58:43.093310,0.0,0.0,0.06,0.04,0.05,0.04,0.02,0.0,1.12,0.0,0.0,-0.0,0.03,3.1,0.08,0.01,0.06,0.0,1.13,0.0,-0.0,0.0,0.02,-0.0,0.29,0.49,0.12,0.26,-0.0,0.0,0.0,0.03,0.0,0.0,0.25,-0.0
07/30/2025-15:58:43.609164,0.0,0.0,0.04,0.03,0.11,0.02,-0.0,0.0,1.34,0.0,0.0,0.01,0.01,2.88,0.12,0.01,0.07,0.0,1.39,0.0,0.11,0.0,0.03,0.0,0.11,0.68,0.13,0.12,0.03,0.0,0.0,0.01,0.08,0.0,0.24,0.01
07/30/2025-15:58:44.044885,0.0,0.0,0.04,0.03,0.11,0.02,-0.0,0.0,1.34,0.0,0.0,0.01,0.01,2.88,0.12,0.01,0.07,0.0,1.39,0.0,0.11,0.0,0.03,0.0,0.11,0.68,0.13,0.12,0.03,0.0,0.0,0.01,0.08,0.0,0.24,0.01
07/30/2025-15:58:44.542237,0.0,0.0,0.04,0.03,0.11,0.02,-0.0,0.0,1.34,0.0,0.0,0.01,0.01,2.88,0.12,0.01,0.07,0.0,1.39,0.0,0.11,0.0,0.03,0.0,0.11,0.68,0.13,0.12,0.03,0.0,0.0,0.01,0.08,0.0,0.24,0.01
07/30/2025-15:58:45.037273,0.0,0.0,0.0,0.01,0.0,0.05,0.03,0.73,0.98,0.0,0.0,0.0,0.02,1.5,0.13,0.01,0.08,0.0,2.25,0.11,0.12,0.0,0.05,0.02,0.28,0.51,0.23,0.14,0.05,0.0,0.0,0.03,0.0,0.0,0.02,0.02
07/30/2025-15:58:45.481786,0.0,0.0,0.0,0.01,0.0,0.05,0.03,0.73,0.98,0.0,0.0,0.0,0.02,1.5,0.13,0.01,0.08,0.0,2.25,0.11,0.12,0.0,0.05,0.02,0.28,0.51,0.23,0.14,0.05,0.0,0.0,0.03,0.0,0.0,0.02,0.02
07/30/2025-15:58:46.001359,0.0,0.0,0.0,0.01,0.0,0.05,0.03,0.73,0.98,0.0,0.0,0.0,0.02,1.5,0.13,0.01,0.08,0.0,2.25,0.11,0.12,0.0,0.05,0.02,0.28,0.51,0.23,0.14,0.05,0.0,0.0,0.03,0.0,0.0,0.02,0.02
07/30/2025-15:58:46.452175,0.0,0.0,0.0,0.01,0.0,0.05,0.03,0.73,0.98,0.0,0.0,0.0,0.02,1.5,0.13,0.01,0.08,0.0,2.25,0.11,0.12,0.0,0.05,0.02,0.28,0.51,0.23,0.14,0.05,0.0,0.0,0.03,0.0,0.0,0.02,0.02
07/30/2025-15:58:46.900640,0.05,0.0,0.0,0.01,0.0,0.02,-0.0,0.23,1.0,0.0,0.0,0.01,-0.0,3.12,0.21,-0.0,0.11,0.0,1.85,0.39,0.1,0.0,0.06,0.02,0.34,0.35,0.38,0.22,0.05,-0.0,0.0,0.03,0.0,0.0,0.1,0.03
07/30/2025-15:58:47.333084,0.05,0.0,0.0,0.01,0.0,0.02,-0.0,0.23,1.0,0.0,0.0,0.01,-0.0,3.12,0.21,-0.0,0.11,0.0,1.85,0.39,0.1,0.0,0.06,0.02,0.34,0.35,0.38,0.22,0.05,-0.0,0.0,0.03,0.0,0.0,0.1,0.03
07/30/2025-15:58:47.809837,0.05,0.0,0.0,0.01,0.0,0.02,-0.0,0.23,1.0,0.0,0.0,0.01,-0.0,3.12,0.21,-0.0,0.11,0.0,1.85,0.39,0.1,0.0,0.06,0.02,0.34,0.35,0.38,0.22,0.05,-0.0,0.0,0.03,0.0,0.0,0.1,0.03
07/30/2025-15:58:48.376128,0.05,0.0,0.0,0.01,0.0,0.02,-0.0,0.23,1.0,0.0,0.0,0.01,-0.0,3.12,0.21,-0.0,0.11,0.0,1.85,0.39,0.1,0.0,0.06,0.02,0.34,0.35,0.38,0.22,0.05,-0.0,0.0,0.03,0.0,0.0,0.1,0.03
07/30/2025-15:58:49.188338,0.18,0.0,0.0,-0.0,0.22,0.04,0.02,0.23,0.79,0.0,0.0,0.03,0.02,0.37,0.23,0.03,0.12,0.0,2.72,0.57,0.18,0.0,0.07,0.02,0.22,0.41,1.86,0.27,0.06,0.0,0.0,0.07,0.0,0.0,0.15,0.02
07/30/2025-15:58:49.697185,0.18,0.0,0.0,-0.0,0.22,0.04,0.02,0.23,0.79,0.0,0.0,0.03,0.02,0.37,0.23,0.03,0.12,0.0,2.72,0.57,0.18,0.0,0.07,0.02,0.22,0.41,1.86,0.27,0.06,0.0,0.0,0.07,0.0,0.0,0.15,0.02
07/30/2025-15:58:50.197117,0.18,0.0,0.0,-0.0,0.22,0.04,0.02,0.23,0.79,0.0,0.0,0.03,0.02,0.37,0.23,0.03,0.12,0.0,2.72,0.57,0.18,0.0,0.07,0.02,0.22,0.41,1.86,0.27,0.06,0.0,0.0,0.07,0.0,0.0,0.15,0.02
07/30/2025-15:58:50.722264,0.09,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.28,0.78,2.82,0.0,0.86,0.0,0.0,0.14,1.48,0.0,0.13,3.74,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.6,0.4
07/30/2025-15:58:51.169485,0.09,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.28,0.78,2.82,0.0,0.86,0.0,0.0,0.14,1.48,0.0,0.13,3.74,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.6,0.4
07/30/2025-15:58:51.610723,0.09,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.28,0.78,2.82,0.0,0.86,0.0,0.0,0.14,1.48,0.0,0.13,3.74,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.6,0.4
07/30/2025-15:58:52.113719,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,3.13,1.55,4.18,0.0,2.25,0.0,0.37,0.0,2.25,0.0,0.74,6.38,0.0,0.0,1.05,0.0,0.27,0.18,0.0,0.0,1.21,0.98
07/30/2025-15:58:52.594455,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,3.13,1.55,4.18,0.0,2.25,0.0,0.37,0.0,2.25,0.0,0.74,6.38,0.0,0.0,1.05,0.0,0.27,0.18,0.0,0.0,1.21,0.98
07/30/2025-15:58:53.060499,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,3.13,1.55,4.18,0.0,2.25,0.0,0.37,0.0,2.25,0.0,0.74,6.38,0.0,0.0,1.05,0.0,0.27,0.18,0.0,0.0,1.21,0.98
07/30/2025-15:58:53.501289,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,3.13,1.55,4.18,0.0,2.25,0.0,0.37,0.0,2.25,0.0,0.74,6.38,0.0,0.0,1.05,0.0,0.27,0.18,0.0,0.0,1.21,0.98
07/30/2025-15:58:53.953007,0.0,0.0,-0.0,0.01,0.0,0.06,0.0,0.53,0.0,0.0,0.33,0.13,0.0,4.15,4.44,1.91,5.62,0.0,2.12,0.0,0.82,0.0,2.93,0.0,0.87,8.71,0.0,0.0,1.27,0.0,0.0,0.24,0.0,0.0,1.55,1.12
07/30/2025-15:58:54.450331,0.0,0.0,-0.0,0.01,0.0,0.06,0.0,0.53,0.0,0.0,0.33,0.13,0.0,4.15,4.44,1.91,5.62,0.0,2.12,0.0,0.82,0.0,2.93,0.0,0.87,8.71,0.0,0.0,1.27,0.0,0.0,0.24,0.0,0.0,1.55,1.12
07/30/2025-15:58:54.898420,0.0,0.0,-0.0,0.01,0.0,0.06,0.0,0.53,0.0,0.0,0.33,0.13,0.0,4.15,4.44,1.91,5.62,0.0,2.12,0.0,0.82,0.0,2.93,0.0,0.87,8.71,0.0,0.0,1.27,0.0,0.0,0.24,0.0,0.0,1.55,1.12
07/30/2025-15:58:55.360906,0.0,0.0,-0.0,0.01,0.0,0.06,0.0,0.53,0.0,0.0,0.33,0.13,0.0,4.15,4.44,1.91,5.62,0.0,2.12,0.0,0.82,0.0,2.93,0.0,0.87,8.71,0.0,0.0,1.27,0.0,0.0,0.24,0.0,0.0,1.55,1.12
07/30/2025-15:58:55.847251,0.0,0.0,0.15,0.0,0.0,0.05,0.0,1.88,0.0,0.0,0.19,0.16,0.0,4.36,5.21,2.02,5.19,0.0,1.92,0.0,0.79,0.0,2.23,0.0,1.09,9.61,0.0,0.0,0.88,0.0,0.0,0.45,0.0,0.0,0.82,1.11
07/30/2025-15:58:56.276365,0.0,0.0,0.15,0.0,0.0,0.05,0.0,1.88,0.0,0.0,0.19,0.16,0.0,4.36,5.21,2.02,5.19,0.0,1.92,0.0,0.79,0.0,2.23,0.0,1.09,9.61,0.0,0.0,0.88,0.0,0.0,0.45,0.0,0.0,0.82,1.11
07/30/2025-15:58:56.763414,0.0,0.0,0.15,0.0,0.0,0.05,0.0,1.88,0.0,0.0,0.19,0.16,0.0,4.36,5.21,2.02,5.19,0.0,1.92,0.0,0.79,0.0,2.23,0.0,1.09,9.61,0.0,0.0,0.88,0.0,0.0,0.45,0.0,0.0,0.82,1.11
07/30/2025-15:58:57.465787,0.0,0.0,0.06,0.0,0.0,0.03,0.0,4.63,0.66,0.0,0.06,0.16,0.02,6.93,6.99,2.81,5.5,0.0,2.05,0.0,1.31,0.0,2.4,0.0,1.19,10.82,0.0,0.0,1.35,0.0,0.0,0.62,0.0,0.0,1.13,1.41
07/30/2025-15:58:58.129754,0.0,0.0,0.06,0.0,0.0,0.03,0.0,4.63,0.66,0.0,0.06,0.16,0.02,6.93,6.99,2.81,5.5,0.0,2.05,0.0,1.31,0.0,2.4,0.0,1.19,10.82,0.0,0.0,1.35,0.0,0.0,0.62,0.0,0.0,1.13,1.41
07/30/2025-15:58:58.612043,0.0,0.0,0.06,0.0,0.0,0.03,0.0,4.63,0.66,0.0,0.06,0.16,0.02,6.93,6.99,2.81,5.5,0.0,2.05,0.0,1.31,0.0,2.4,0.0,1.19,10.82,0.0,0.0,1.35,0.0,0.0,0.62,0.0,0.0,1.13,1.41
