MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:50:47.987220,0.05,0.0,0.04,0.04,1.84,0.02,0.0,0.0,0.0,0.0,0.25,0.07,0.0,0.0,-0.0,0.05,0.16,0.08,0.0,0.0,0.28,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.26,0.0,0.55,0.27,0.0,0.44,0.41,0.63
07/30/2025-15:50:48.479675,0.05,0.0,0.04,0.04,1.84,0.02,0.0,0.0,0.0,0.0,0.25,0.07,0.0,0.0,-0.0,0.05,0.16,0.08,0.0,0.0,0.28,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.26,0.0,0.55,0.27,0.0,0.44,0.41,0.63
07/30/2025-15:50:49.026478,0.14,0.0,0.0,-0.0,4.85,0.01,0.0,0.34,0.0,0.0,0.33,0.25,0.02,4.37,2.36,2.08,3.68,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,5.11,0.0,0.78,1.11,0.0,0.88,0.09,0.0,0.23,1.42,1.42
07/30/2025-15:50:49.661283,0.14,0.0,0.0,-0.0,4.85,0.01,0.0,0.34,0.0,0.0,0.33,0.25,0.02,4.37,2.36,2.08,3.68,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,5.11,0.0,0.78,1.11,0.0,0.88,0.09,0.0,0.23,1.42,1.42
07/30/2025-15:50:50.193212,0.14,0.0,0.0,-0.0,4.85,0.01,0.0,0.34,0.0,0.0,0.33,0.25,0.02,4.37,2.36,2.08,3.68,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,5.11,0.0,0.78,1.11,0.0,0.88,0.09,0.0,0.23,1.42,1.42
07/30/2025-15:50:50.736473,0.05,0.0,0.06,0.08,8.44,0.0,0.03,4.9,0.0,0.0,0.91,0.0,0.01,7.08,3.81,2.52,4.87,0.0,0.67,0.0,0.0,0.0,2.16,0.0,0.0,8.03,0.0,0.0,1.28,0.0,0.95,0.17,0.0,0.2,1.64,2.0
07/30/2025-15:50:51.225259,0.05,0.0,0.06,0.08,8.44,0.0,0.03,4.9,0.0,0.0,0.91,0.0,0.01,7.08,3.81,2.52,4.87,0.0,0.67,0.0,0.0,0.0,2.16,0.0,0.0,8.03,0.0,0.0,1.28,0.0,0.95,0.17,0.0,0.2,1.64,2.0
07/30/2025-15:50:51.718421,0.05,0.0,0.06,0.08,8.44,0.0,0.03,4.9,0.0,0.0,0.91,0.0,0.01,7.08,3.81,2.52,4.87,0.0,0.67,0.0,0.0,0.0,2.16,0.0,0.0,8.03,0.0,0.0,1.28,0.0,0.95,0.17,0.0,0.2,1.64,2.0
07/30/2025-15:50:52.222576,0.05,0.0,0.06,0.08,8.44,0.0,0.03,4.9,0.0,0.0,0.91,0.0,0.01,7.08,3.81,2.52,4.87,0.0,0.67,0.0,0.0,0.0,2.16,0.0,0.0,8.03,0.0,0.0,1.28,0.0,0.95,0.17,0.0,0.2,1.64,2.0
07/30/2025-15:50:52.649083,0.05,0.0,0.08,0.07,7.62,-0.0,0.02,5.29,0.0,0.0,0.89,0.0,0.0,8.77,4.33,2.8,5.4,0.0,1.68,0.0,0.0,0.0,2.35,0.0,0.0,8.88,0.0,0.0,1.41,0.0,1.12,0.28,0.0,0.09,1.82,2.19
07/30/2025-15:50:53.755350,0.05,0.0,0.08,0.07,7.62,-0.0,0.02,5.29,0.0,0.0,0.89,0.0,0.0,8.77,4.33,2.8,5.4,0.0,1.68,0.0,0.0,0.0,2.35,0.0,0.0,8.88,0.0,0.0,1.41,0.0,1.12,0.28,0.0,0.09,1.82,2.19
07/30/2025-15:50:54.238331,0.05,0.0,0.1,0.05,9.7,0.03,0.06,6.31,0.0,0.0,1.32,0.0,0.0,11.45,4.87,2.94,5.69,0.0,1.84,0.0,0.13,0.0,2.45,0.0,0.0,9.73,0.0,0.18,1.48,0.0,1.32,0.22,0.0,0.09,1.92,2.35
07/30/2025-15:50:54.689680,0.05,0.0,0.1,0.05,9.7,0.03,0.06,6.31,0.0,0.0,1.32,0.0,0.0,11.45,4.87,2.94,5.69,0.0,1.84,0.0,0.13,0.0,2.45,0.0,0.0,9.73,0.0,0.18,1.48,0.0,1.32,0.22,0.0,0.09,1.92,2.35
