MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/01/2025-13:23:26.036187,0.75,0.0,0.0,0.0,0.0,0.02,0.05,0.13,0.18,0.14,0.0,0.0,0.0,0.26,0.16,0.13,0.11,0.0,0.0,0.0,0.06,0.0,0.08,0.02,1.43,0.0,0.0,0.13,0.07,0.0,0.46,0.0,-0.0,0.0,0.0,0.09
07/01/2025-13:23:26.504109,0.75,0.0,0.0,0.0,0.0,0.02,0.05,0.13,0.18,0.14,0.0,0.0,0.0,0.26,0.16,0.13,0.11,0.0,0.0,0.0,0.06,0.0,0.08,0.02,1.43,0.0,0.0,0.13,0.07,0.0,0.46,0.0,-0.0,0.0,0.0,0.09
07/01/2025-13:23:26.983143,0.75,0.0,0.0,0.0,0.0,0.02,0.05,0.13,0.18,0.14,0.0,0.0,0.0,0.26,0.16,0.13,0.11,0.0,0.0,0.0,0.06,0.0,0.08,0.02,1.43,0.0,0.0,0.13,0.07,0.0,0.46,0.0,-0.0,0.0,0.0,0.09
07/01/2025-13:23:27.481171,0.75,0.0,0.0,0.0,0.0,0.02,0.05,0.13,0.18,0.14,0.0,0.0,0.0,0.26,0.16,0.13,0.11,0.0,0.0,0.0,0.06,0.0,0.08,0.02,1.43,0.0,0.0,0.13,0.07,0.0,0.46,0.0,-0.0,0.0,0.0,0.09
07/01/2025-13:23:28.082477,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.18,0.15,0.0,0.0,0.0,0.21,0.14,0.13,0.11,-0.0,0.0,0.0,0.05,0.0,0.08,0.07,1.93,0.0,0.0,0.16,-0.0,0.0,0.51,0.0,0.0,0.05,0.0,0.09
07/01/2025-13:23:28.581377,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.18,0.15,0.0,0.0,0.0,0.21,0.14,0.13,0.11,-0.0,0.0,0.0,0.05,0.0,0.08,0.07,1.93,0.0,0.0,0.16,-0.0,0.0,0.51,0.0,0.0,0.05,0.0,0.09
07/01/2025-13:23:29.062512,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.18,0.15,0.0,0.0,0.0,0.21,0.14,0.13,0.11,-0.0,0.0,0.0,0.05,0.0,0.08,0.07,1.93,0.0,0.0,0.16,-0.0,0.0,0.51,0.0,0.0,0.05,0.0,0.09
07/01/2025-13:23:29.576244,0.17,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.16,0.14,0.04,0.0,0.0,0.27,0.17,0.13,0.04,0.0,0.0,0.0,0.08,0.0,0.05,0.0,2.27,0.0,0.0,0.23,0.04,0.0,0.57,0.0,-0.0,0.03,0.0,0.05
07/01/2025-13:23:30.020844,0.17,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.16,0.14,0.04,0.0,0.0,0.27,0.17,0.13,0.04,0.0,0.0,0.0,0.08,0.0,0.05,0.0,2.27,0.0,0.0,0.23,0.04,0.0,0.57,0.0,-0.0,0.03,0.0,0.05
07/01/2025-13:23:30.496541,0.17,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.16,0.14,0.04,0.0,0.0,0.27,0.17,0.13,0.04,0.0,0.0,0.0,0.08,0.0,0.05,0.0,2.27,0.0,0.0,0.23,0.04,0.0,0.57,0.0,-0.0,0.03,0.0,0.05
07/01/2025-13:23:31.003304,0.17,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.16,0.14,0.04,0.0,0.0,0.27,0.17,0.13,0.04,0.0,0.0,0.0,0.08,0.0,0.05,0.0,2.27,0.0,0.0,0.23,0.04,0.0,0.57,0.0,-0.0,0.03,0.0,0.05
07/01/2025-13:23:31.588050,0.5,0.0,0.0,0.0,0.0,0.02,0.01,0.17,0.18,0.13,0.0,0.0,0.0,0.24,0.16,0.12,0.11,0.0,0.0,0.0,0.06,0.0,0.1,0.0,2.53,0.0,0.0,0.23,0.04,0.0,0.48,0.0,0.0,0.02,0.0,0.09
07/01/2025-13:23:32.137043,0.5,0.0,0.0,0.0,0.0,0.02,0.01,0.17,0.18,0.13,0.0,0.0,0.0,0.24,0.16,0.12,0.11,0.0,0.0,0.0,0.06,0.0,0.1,0.0,2.53,0.0,0.0,0.23,0.04,0.0,0.48,0.0,0.0,0.02,0.0,0.09
07/01/2025-13:23:32.683096,0.5,0.0,0.0,0.0,0.0,0.02,0.01,0.17,0.18,0.13,0.0,0.0,0.0,0.24,0.16,0.12,0.11,0.0,0.0,0.0,0.06,0.0,0.1,0.0,2.53,0.0,0.0,0.23,0.04,0.0,0.48,0.0,0.0,0.02,0.0,0.09
