MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/01/2025-13:30:08.084109,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.17,0.09,0.03,0.0,0.04,0.12,0.13,0.09,0.09,0.0,0.0,0.0,0.09,0.01,0.06,0.0,0.0,3.04,0.76,0.03,0.0,0.02,0.13,1.25,-0.0,0.16,0.0,0.02
07/01/2025-13:30:08.591696,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.17,0.09,0.03,0.0,0.04,0.12,0.13,0.09,0.09,0.0,0.0,0.0,0.09,0.01,0.06,0.0,0.0,3.04,0.76,0.03,0.0,0.02,0.13,1.25,-0.0,0.16,0.0,0.02
07/01/2025-13:30:09.128063,1.36,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.1,0.03,0.0,0.07,0.0,0.19,1.63,0.0,0.0,0.0,0.0,0.14,5.77,0.5,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.15,0.74,0.0,-0.0
07/01/2025-13:30:09.619296,1.36,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.1,0.03,0.0,0.07,0.0,0.19,1.63,0.0,0.0,0.0,0.0,0.14,5.77,0.5,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.15,0.74,0.0,-0.0
07/01/2025-13:30:10.104112,1.36,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.1,0.03,0.0,0.07,0.0,0.19,1.63,0.0,0.0,0.0,0.0,0.14,5.77,0.5,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.15,0.74,0.0,-0.0
07/01/2025-13:30:10.673936,0.0,0.3,0.0,0.02,0.0,0.0,0.0,0.09,0.11,0.13,0.0,0.0,0.08,0.0,0.29,2.47,0.0,0.0,5.92,15.93,0.49,5.98,0.84,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.0,2.78,0.13,1.99,0.0,0.02
07/01/2025-13:30:11.190942,0.0,0.3,0.0,0.02,0.0,0.0,0.0,0.09,0.11,0.13,0.0,0.0,0.08,0.0,0.29,2.47,0.0,0.0,5.92,15.93,0.49,5.98,0.84,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.0,2.78,0.13,1.99,0.0,0.02
07/01/2025-13:30:11.697721,0.0,0.3,0.0,0.02,0.0,0.0,0.0,0.09,0.11,0.13,0.0,0.0,0.08,0.0,0.29,2.47,0.0,0.0,5.92,15.93,0.49,5.98,0.84,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.0,2.78,0.13,1.99,0.0,0.02
07/01/2025-13:30:12.184743,0.0,0.3,0.0,0.02,0.0,0.0,0.0,0.09,0.11,0.13,0.0,0.0,0.08,0.0,0.29,2.47,0.0,0.0,5.92,15.93,0.49,5.98,0.84,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.0,2.78,0.13,1.99,0.0,0.02
07/01/2025-13:30:12.694185,0.44,0.18,0.0,0.04,0.0,0.0,0.01,0.19,0.22,0.15,0.03,0.03,0.0,0.0,0.46,2.76,0.0,0.0,9.03,19.71,0.88,6.89,1.1,0.03,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.57,2.39,0.0,0.05
07/01/2025-13:30:13.269392,0.44,0.18,0.0,0.04,0.0,0.0,0.01,0.19,0.22,0.15,0.03,0.03,0.0,0.0,0.46,2.76,0.0,0.0,9.03,19.71,0.88,6.89,1.1,0.03,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.57,2.39,0.0,0.05
07/01/2025-13:30:13.784803,0.44,0.18,0.0,0.04,0.0,0.0,0.01,0.19,0.22,0.15,0.03,0.03,0.0,0.0,0.46,2.76,0.0,0.0,9.03,19.71,0.88,6.89,1.1,0.03,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.57,2.39,0.0,0.05
07/01/2025-13:30:14.273038,0.71,0.26,0.0,0.01,0.0,-0.0,0.0,0.13,0.26,0.1,0.0,0.0,0.04,0.0,0.56,3.09,0.01,0.0,11.78,27.15,1.02,10.15,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.52,0.0,0.0
07/01/2025-13:30:14.770841,0.71,0.26,0.0,0.01,0.0,-0.0,0.0,0.13,0.26,0.1,0.0,0.0,0.04,0.0,0.56,3.09,0.01,0.0,11.78,27.15,1.02,10.15,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.52,0.0,0.0
07/01/2025-13:30:15.287153,0.71,0.26,0.0,0.01,0.0,-0.0,0.0,0.13,0.26,0.1,0.0,0.0,0.04,0.0,0.56,3.09,0.01,0.0,11.78,27.15,1.02,10.15,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.52,0.0,0.0
07/01/2025-13:30:15.824925,0.71,0.26,0.0,0.01,0.0,-0.0,0.0,0.13,0.26,0.1,0.0,0.0,0.04,0.0,0.56,3.09,0.01,0.0,11.78,27.15,1.02,10.15,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.52,0.0,0.0
07/01/2025-13:30:16.272488,1.14,0.27,0.01,0.02,0.0,-0.0,0.0,0.0,0.26,0.17,-0.0,0.06,0.05,0.12,0.42,2.5,0.01,0.0,0.0,0.0,0.92,8.91,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.42,2.91,0.0,-0.0
07/01/2025-13:30:16.863793,1.14,0.27,0.01,0.02,0.0,-0.0,0.0,0.0,0.26,0.17,-0.0,0.06,0.05,0.12,0.42,2.5,0.01,0.0,0.0,0.0,0.92,8.91,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.42,2.91,0.0,-0.0
07/01/2025-13:30:17.337280,1.14,0.27,0.01,0.02,0.0,-0.0,0.0,0.0,0.26,0.17,-0.0,0.06,0.05,0.12,0.42,2.5,0.01,0.0,0.0,0.0,0.92,8.91,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.42,2.91,0.0,-0.0
