MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/02/2025-12:29:53.280750,0.0,0.06,0.0,0.04,0.0,0.0,0.04,-0.0,0.08,0.06,0.07,0.2,0.08,0.12,0.09,0.12,0.12,0.12,0.0,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.08,0.25,0.03,0.0,0.0,0.19,0.0,0.0,0.0,0.02
07/02/2025-12:29:53.801939,0.0,0.06,0.0,0.04,0.0,0.0,0.04,-0.0,0.08,0.06,0.07,0.2,0.08,0.12,0.09,0.12,0.12,0.12,0.0,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.08,0.25,0.03,0.0,0.0,0.19,0.0,0.0,0.0,0.02
07/02/2025-12:29:54.342105,0.0,0.04,0.0,0.03,0.0,0.0,0.03,0.0,0.03,0.07,0.08,0.26,0.06,0.15,0.12,0.13,0.15,0.12,0.0,0.0,0.09,0.08,0.09,0.05,0.08,0.0,0.02,0.26,0.0,-0.0,0.0,0.09,0.01,0.0,0.03,0.0
07/02/2025-12:29:54.912293,0.0,0.04,0.0,0.03,0.0,0.0,0.03,0.0,0.03,0.07,0.08,0.26,0.06,0.15,0.12,0.13,0.15,0.12,0.0,0.0,0.09,0.08,0.09,0.05,0.08,0.0,0.02,0.26,0.0,-0.0,0.0,0.09,0.01,0.0,0.03,0.0
07/02/2025-12:29:55.586529,0.0,0.04,0.0,0.03,0.0,0.0,0.03,0.0,0.03,0.07,0.08,0.26,0.06,0.15,0.12,0.13,0.15,0.12,0.0,0.0,0.09,0.08,0.09,0.05,0.08,0.0,0.02,0.26,0.0,-0.0,0.0,0.09,0.01,0.0,0.03,0.0
07/02/2025-12:29:56.104479,0.0,0.05,0.0,0.0,0.15,0.0,0.0,-0.0,0.09,0.08,0.15,0.31,0.04,0.17,0.13,0.15,0.16,0.1,0.0,0.0,0.06,0.08,0.05,0.0,0.23,0.0,0.15,0.29,0.0,0.01,0.0,0.16,0.0,0.02,0.04,0.03
07/02/2025-12:29:56.770254,0.0,0.05,0.0,0.0,0.15,0.0,0.0,-0.0,0.09,0.08,0.15,0.31,0.04,0.17,0.13,0.15,0.16,0.1,0.0,0.0,0.06,0.08,0.05,0.0,0.23,0.0,0.15,0.29,0.0,0.01,0.0,0.16,0.0,0.02,0.04,0.03
07/02/2025-12:29:57.334197,0.0,0.05,0.0,0.0,0.15,0.0,0.0,-0.0,0.09,0.08,0.15,0.31,0.04,0.17,0.13,0.15,0.16,0.1,0.0,0.0,0.06,0.08,0.05,0.0,0.23,0.0,0.15,0.29,0.0,0.01,0.0,0.16,0.0,0.02,0.04,0.03
07/02/2025-12:29:57.861489,0.0,0.03,0.0,0.03,0.27,0.0,0.0,0.0,0.1,0.09,0.03,0.32,0.07,0.17,0.14,0.17,0.19,0.06,0.0,0.0,0.07,0.01,0.09,0.05,0.32,0.17,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.04,0.0
07/02/2025-12:29:58.460921,0.0,0.03,0.0,0.03,0.27,0.0,0.0,0.0,0.1,0.09,0.03,0.32,0.07,0.17,0.14,0.17,0.19,0.06,0.0,0.0,0.07,0.01,0.09,0.05,0.32,0.17,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.04,0.0
07/02/2025-12:29:58.943289,0.0,0.03,0.0,0.03,0.27,0.0,0.0,0.0,0.1,0.09,0.03,0.32,0.07,0.17,0.14,0.17,0.19,0.06,0.0,0.0,0.07,0.01,0.09,0.05,0.32,0.17,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.04,0.0
07/02/2025-12:29:59.430181,0.0,0.0,0.06,0.03,0.5,0.0,0.0,0.0,0.0,0.09,0.02,0.33,0.0,0.0,0.0,3.46,0.07,0.08,0.0,0.0,0.0,4.72,0.45,0.23,0.0,0.0,0.03,0.0,0.21,-0.0,0.0,0.0,0.36,0.03,0.13,0.02
07/02/2025-12:29:59.998769,0.0,0.0,0.06,0.03,0.5,0.0,0.0,0.0,0.0,0.09,0.02,0.33,0.0,0.0,0.0,3.46,0.07,0.08,0.0,0.0,0.0,4.72,0.45,0.23,0.0,0.0,0.03,0.0,0.21,-0.0,0.0,0.0,0.36,0.03,0.13,0.02
07/02/2025-12:30:00.518434,0.0,0.0,0.06,0.03,0.5,0.0,0.0,0.0,0.0,0.09,0.02,0.33,0.0,0.0,0.0,3.46,0.07,0.08,0.0,0.0,0.0,4.72,0.45,0.23,0.0,0.0,0.03,0.0,0.21,-0.0,0.0,0.0,0.36,0.03,0.13,0.02
07/02/2025-12:30:01.018236,0.0,0.0,0.06,0.03,0.5,0.0,0.0,0.0,0.0,0.09,0.02,0.33,0.0,0.0,0.0,3.46,0.07,0.08,0.0,0.0,0.0,4.72,0.45,0.23,0.0,0.0,0.03,0.0,0.21,-0.0,0.0,0.0,0.36,0.03,0.13,0.02
07/02/2025-12:30:01.623293,0.0,0.0,0.01,0.01,0.24,0.0,0.04,0.0,0.0,0.11,0.05,0.31,0.03,0.0,0.0,4.75,0.12,0.12,0.96,1.52,0.0,5.62,0.85,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.0,0.0,0.35,0.22,0.28,0.03
07/02/2025-12:30:02.169474,0.0,0.0,0.01,0.01,0.24,0.0,0.04,0.0,0.0,0.11,0.05,0.31,0.03,0.0,0.0,4.75,0.12,0.12,0.96,1.52,0.0,5.62,0.85,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.0,0.0,0.35,0.22,0.28,0.03
07/02/2025-12:30:02.654386,0.0,0.0,0.01,0.01,0.24,0.0,0.04,0.0,0.0,0.11,0.05,0.31,0.03,0.0,0.0,4.75,0.12,0.12,0.96,1.52,0.0,5.62,0.85,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.0,0.0,0.35,0.22,0.28,0.03
07/02/2025-12:30:03.318078,0.0,0.0,0.0,0.06,0.75,0.0,0.01,-0.0,0.0,0.13,0.08,0.31,0.0,0.0,0.0,5.22,0.14,0.12,0.0,0.0,0.0,6.23,0.92,0.0,0.32,0.0,0.0,0.0,0.15,-0.0,0.0,0.0,0.4,0.34,0.26,0.0
07/02/2025-12:30:03.837352,0.0,0.0,0.0,0.06,0.75,0.0,0.01,-0.0,0.0,0.13,0.08,0.31,0.0,0.0,0.0,5.22,0.14,0.12,0.0,0.0,0.0,6.23,0.92,0.0,0.32,0.0,0.0,0.0,0.15,-0.0,0.0,0.0,0.4,0.34,0.26,0.0
07/02/2025-12:30:04.363188,0.0,0.0,0.0,0.06,0.75,0.0,0.01,-0.0,0.0,0.13,0.08,0.31,0.0,0.0,0.0,5.22,0.14,0.12,0.0,0.0,0.0,6.23,0.92,0.0,0.32,0.0,0.0,0.0,0.15,-0.0,0.0,0.0,0.4,0.34,0.26,0.0
